,number,value,datetime_start,datetime_complete,duration,params_Optimizer,params_batch_size,params_hidden size memory unit 1,params_hidden size memory unit 2,params_learning rate,params_linear layer units 1,params_linear layer units 2,params_n_growth_factor_0,params_n_growth_factor_1,params_n_growth_factor_2,params_number layer memory unit,params_number of convolution layers,state
0,0,1.885119915,11:43.5,18:06.7,0 days 00:06:23.241462,Adagrad,64,64,256,9.04E-12,512,256,2,2,2,1,3,COMPLETE
1,1,1.715258479,18:07.7,29:47.1,0 days 00:11:39.342756,Adadelta,16,256,256,1.80E-11,256,512,2,1,1,3,3,COMPLETE
2,2,0.245419443,29:51.6,33:09.0,0 days 00:03:17.428958,AdamW,64,256,64,8.15E-10,256,128,1,,,3,1,COMPLETE
3,3,0.490103871,33:09.5,40:15.2,0 days 00:07:05.704247,Adam,32,256,256,7.77E-10,128,256,1,,,3,1,COMPLETE
4,4,1.704840183,40:16.3,45:07.8,0 days 00:04:51.435113,AdamW,16,64,256,4.64E-10,256,512,1,2,1,2,3,COMPLETE
5,5,0.424654633,45:09.0,46:10.6,0 days 00:01:01.672266,Adadelta,64,64,64,2.01E-10,128,256,2,1,1,1,3,COMPLETE
6,6,1.009066224,46:10.7,54:43.4,0 days 00:08:32.689194,AdamW,64,128,64,7.18E-12,512,512,2,2,,3,2,COMPLETE
7,7,3.78715682,54:46.2,49:34.0,0 days 00:54:47.750714,SGD,32,256,64,9.09E-10,128,512,2,2,2,3,3,COMPLETE
8,8,2.10054493,49:59.7,54:34.8,0 days 00:04:35.105187,Adamax,16,64,128,8.40E-10,512,256,2,,,2,1,COMPLETE
9,9,0.969746649,54:36.1,59:55.0,0 days 00:05:18.920986,Adagrad,16,256,128,4.94E-10,256,128,1,,,3,1,COMPLETE
10,10,0.238333762,59:56.8,01:51.1,0 days 00:01:54.316279,AdamW,64,128,64,6.64E-10,256,128,1,,,3,1,COMPLETE
11,11,0.242538527,01:51.4,03:47.3,0 days 00:01:55.870627,AdamW,64,128,64,6.73E-10,256,128,1,,,3,1,COMPLETE
12,12,0.243685246,03:47.6,05:41.6,0 days 00:01:54.021948,AdamW,64,128,64,6.50E-10,256,128,1,,,3,1,COMPLETE
13,13,0.215708554,05:41.9,07:31.8,0 days 00:01:49.866405,AdamW,64,128,64,6.03E-10,256,128,1,1,,3,2,COMPLETE
14,14,0.222732022,07:32.0,08:49.7,0 days 00:01:17.617658,SGD,64,128,64,3.90E-10,256,128,1,1,,2,2,COMPLETE
15,15,0.219154358,08:49.8,10:07.3,0 days 00:01:17.537000,SGD,64,128,64,3.46E-10,256,128,1,1,,2,2,COMPLETE
16,16,0.441208184,10:07.5,11:56.3,0 days 00:01:48.758508,SGD,32,128,128,2.35E-10,256,128,1,1,,2,2,COMPLETE
17,17,0.213602245,11:56.5,13:14.7,0 days 00:01:18.230404,SGD,64,128,64,3.29E-10,256,128,1,1,,2,2,COMPLETE
18,18,0.217724487,13:14.9,14:07.5,0 days 00:00:52.645138,Adamax,64,128,64,2.13E-10,256,128,1,1,,1,2,COMPLETE
19,19,0.216977358,14:07.6,15:26.4,0 days 00:01:18.788243,Adam,64,128,64,5.70E-10,256,128,1,1,,2,2,COMPLETE
20,20,0.434304774,15:26.5,17:14.9,0 days 00:01:48.406861,SGD,32,128,128,9.97E-10,128,128,1,1,,2,2,COMPLETE
21,21,0.224672422,17:15.2,18:33.3,0 days 00:01:18.081618,Adam,64,128,64,5.88E-10,256,128,1,1,,2,2,COMPLETE
22,22,0.215442255,18:33.4,19:52.0,0 days 00:01:18.601216,Adam,64,128,64,5.65E-10,256,128,1,1,,2,2,COMPLETE
23,23,0.22094664,19:52.1,21:11.3,0 days 00:01:19.159061,Adam,64,128,64,3.41E-10,256,128,1,1,,2,2,COMPLETE
24,24,0.219338596,21:11.4,22:29.9,0 days 00:01:18.417925,Adam,64,128,64,5.48E-10,256,128,1,1,,2,2,COMPLETE
25,25,0.219721884,22:30.0,23:49.7,0 days 00:01:19.759738,Adam,64,128,64,4.14E-10,512,128,1,1,,2,2,COMPLETE
26,26,0.218894288,23:49.9,24:42.8,0 days 00:00:52.900309,SGD,64,128,64,3.04E-10,256,128,1,1,,1,2,COMPLETE
27,27,0.224958941,24:42.9,26:01.0,0 days 00:01:18.080194,Adadelta,64,128,64,1.43E-10,256,128,1,1,,2,2,COMPLETE
28,28,0.21567297,26:01.1,27:18.8,0 days 00:01:17.756952,Adamax,64,128,64,4.56E-10,256,128,1,1,,2,2,COMPLETE
29,29,0.218829066,27:19.0,29:16.6,0 days 00:01:57.646166,Adamax,64,64,256,4.48E-10,512,256,1,1,,2,2,COMPLETE
30,30,0.218723699,29:16.9,30:37.6,0 days 00:01:20.753273,Adamax,64,128,64,2.99E-10,256,128,1,1,,2,2,COMPLETE
31,31,0.21871686,30:37.7,31:55.9,0 days 00:01:18.141696,Adagrad,64,128,64,7.13E-10,256,128,1,1,,2,2,COMPLETE
32,32,0.215172291,31:56.0,33:14.2,0 days 00:01:18.182279,Adamax,64,128,64,5.34E-10,256,128,1,1,,2,2,COMPLETE
33,33,0.222047105,33:14.3,34:32.3,0 days 00:01:17.956780,Adamax,64,128,64,5.35E-10,256,128,1,1,,2,2,COMPLETE
34,34,0.879069328,34:32.4,38:14.2,0 days 00:03:41.790911,Adamax,16,128,256,5.01E-10,256,512,1,1,,2,2,COMPLETE
35,35,0.223473072,38:14.9,40:33.7,0 days 00:02:18.817887,Adamax,64,256,64,9.37E-11,256,128,1,1,,2,2,COMPLETE
36,36,0.918276429,40:34.0,52:01.4,0 days 00:11:27.376864,Adamax,64,128,256,4.54E-10,128,256,2,1,2,2,3,COMPLETE
37,37,0.956154644,52:03.5,53:20.6,0 days 00:01:17.111286,Adadelta,32,64,64,7.27E-10,256,128,1,2,,1,2,COMPLETE
38,38,0.432762593,53:20.8,55:34.9,0 days 00:02:14.126823,Adamax,64,128,64,3.94E-10,256,512,1,1,2,2,3,COMPLETE
39,39,1.933927894,55:35.3,00:51.7,0 days 00:05:16.360503,Adagrad,16,256,64,6.15E-10,512,128,2,1,,2,2,COMPLETE
40,40,0.479059488,00:53.7,04:28.9,0 days 00:03:35.165657,Adam,64,128,128,5.07E-10,128,256,1,2,,2,2,COMPLETE
41,41,0.217998326,04:29.5,06:21.7,0 days 00:01:52.265675,AdamW,64,128,64,6.32E-10,256,128,1,1,,3,2,COMPLETE
42,42,0.221228138,06:22.0,08:15.2,0 days 00:01:53.205843,AdamW,64,128,64,7.83E-10,256,128,1,1,,3,2,COMPLETE
43,43,0.2208682,08:15.5,10:08.8,0 days 00:01:53.370830,Adamax,64,128,64,5.87E-10,256,128,1,1,,3,2,COMPLETE
44,44,0.217388704,10:09.1,11:29.4,0 days 00:01:20.282832,AdamW,64,128,64,4.51E-10,256,128,1,1,,2,2,COMPLETE
45,45,0.196230173,11:29.5,12:36.2,0 days 00:01:06.707922,SGD,64,64,64,5.37E-10,256,128,1,1,1,3,3,COMPLETE
46,46,0.91367054,12:36.4,14:18.6,0 days 00:01:42.176779,SGD,64,64,64,5.30E-10,256,512,2,2,1,1,3,COMPLETE
47,47,0.775487304,14:18.8,16:44.8,0 days 00:02:26.008364,SGD,16,64,64,4.86E-10,256,128,1,1,1,3,3,COMPLETE
48,48,0.192782998,16:45.2,17:39.7,0 days 00:00:54.430181,SGD,64,64,64,4.03E-10,256,128,1,1,1,2,3,COMPLETE
